no,company,inspector,location,date,vendor,raw_content,corrective_action,is_completed,photo_before,photo_after,remarks,SDN_risk,Hanmi_risk,SDN_score,Hanmi_score
1.0,Hanmi,Rahul Mor,Module 1F,06.03.2026,DSHI,"Risky & unsafe condition/Safety voilation Hundred percentage (100 %) height of scissor lift was used/opened, that significantly impact the stability and safety of the equipment. Center of gravity moves higher,Tip over hazard",Use/Allow upto safe limit of scissor lift (not more than 80%) to avoid the tip over hazard,Yes,20260306_SDN_002_before,,Overturning,전도/낙하/부딪힘,전도,1.0,1.0
2.0,Hanmi,Surender Kumar,Module 2F,06.03.2026,Hankuk,Toe board were not installed in the scaffolding area to avoid material falling,Need to install toe board in all scaffolding platform,Yes,20260306_SDN_001_before,,Dropping,떨어짐/낙상,추락,0.4254,0.4185
3.0,Hanmi,Surender Kumar,Module 2F,06.03.2026,Hankuk,"Uneven /Unsafe gap in the scaffolding planks,materials can fall down",Do rearrangements for these scaffolding planks.,Yes,20260306_SDN_003_before,,Dropping,전도/낙하/부딪힘,낙하,0.4051,0.3986
4.0,Hanmi,Surender Kumar,Module 2F,06.03.2026,Hankuk,Worker was standing on jack/Props in unsafe manner at height,worker need retraining & he should work by standing on safe platform only,Yes,20260306_SDN_004_before,,Falling,전도/낙하/부딪힘,추락,0.4573,0.4689
5.0,Hanmi,Surender Kumar,Module 1F,06.03.2026,Hankuk,"Worker was standing on jack/Props in unsafe manner , can slip & will get injury in this unsafe position",worker need retraining & he should work by standing on safe platform only,Yes,20260306_SDN_005_before,,Falling,전도/낙하/부딪힘,추락,0.4817,0.4399
6.0,Hanmi,Rahul Mor,Module 1F,06.03.2026,DSHI,Loose middle platform was used to stand over in the scissor lift on extension platform,Loose middle platform must tied/clamping both sides,Yes,20260306_SDN_006_before,,Falling,전도/낙하/부딪힘,추락,0.5614,0.5423
7.0,Hanmi,Rahul Mor,Module 1F,06.03.2026,DSHI,"Near Miss  One near miss happened, fall of heavy bolt from scissor lift from height also underneath area was not barricade but no one was harmed",Need retraining for workers to work carefully at height and the underneath area must be barricade & no unauthorised entry should be there in the working area,Yes,WhatsApp Image 2026-03-06 at 10.13.23 AM,,Dropping,전도/낙하/부딪힘,낙하,0.49,0.5473
8.0,Hanmi,Rahul Mor,Module 1F,06.03.2026,Hankuk,Many workers knotted their safety harness lanyards which significantly reduce the strength of fall protection euipments,Need retraining for not to make knots in safety harness lanyards,Yes,KakaoTalk_20260306_164706114_08,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
9.0,Hanmi,Rahul Mor,Module 2F,06.03.2026,Hankuk,"Worker is moving at height without anchoring safety harness in lifeline,he holded the snap hooks of safety harness in his hands",Worker should use the safe anchor point for safety harness,Yes,KakaoTalk_20260306_164706114_07,,Falling,떨어짐/낙상,추락,0.4253,0.4724
10.0,Hanmi,Rahul Mor,Module 1F,06.03.2026,Hankuk,Worker was using hand tool at height without the tools lanyard,All hand tools must be tied with tools lanyard at height to  avoid fall of materials from height,Yes,KakaoTalk_20260306_164706114_06,,Dropping,전도/낙하/부딪힘,낙하,0.3467,0.5186
11.0,Hanmi,Rahul Mor,Module 2F,06.03.2026,DSHI,"Worker was standing on height (14meters) on narrow beam & anchor point (lifeline) is also far from him, risky condition to walk & work , high chances of fall from height",Worker must use safe platform to stand/work at such height also need secondary fall protection other than only 16mm pp rope (lifeline),Yes,KakaoTalk_20260306_164706114_16,,Falling,떨어짐/낙상,추락,0.5501,0.5939
12.0,Hanmi,Rahul Mor,Module GF,07.03.2026,DSHI,"Two filled oxygen cylinders were found with single chain going to lift,high chances to imbalance the high pressure gas cylinders at height during lifting",",instructed to tied properly & make safe position for lifting or use other safe method for shifting /lifting",Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.3295,0.309
13.0,Hanmi,Rahul Mor,Module 2F,07.03.2026,Hankuk,"Materials from near access way needs to be clear, all area were lacks of proper safe access,materials scattered in haphazard manner.","Make Safe access way for all working area , clear the debris & other materials from near accessway",Yes,,,Falling,전도/낙하/부딪힘,낙하,0.5655,0.5442
14.0,Hanmi,Rahul Mor,Module 2F,07.03.2026,Hankuk,"Lifeline pp rope were substandard ,damaged & burnt at many points,also having inspection tag after so much damaged,there are no use /value of inspection if after inspection we find this type of damaged rope as lifeline as height",Need to replace all damaged & burnt lifeline & reinspection to be done by competant person for the new lifeline.,Yes,,,Falling,떨어짐/낙상,추락,0.4863,0.5418
15.0,Hanmi,Rahul Mor,Module 2F,07.03.2026,DSHI,Work was going on at height but underneath area was not barricade & No signalman was near there.,All equipment should be controlled by signalman during movement or working & beneath area must be cordoned off.,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
